Year,Market,Company code,Company name,Proposal Status,Dividend in respect of the year (quarter),Dividend Period,Times,Date of the Board of Directors,Date of the Shareholders' Meeting,Cash dividends distributed from retained earnings (NTD/share),Cash distributed from legal reserve (NTD/share),Cash distributed from capital surplus (NTD/share),Total amount of cash distributed to shareholders (NTD),Stock dividends distributed from retained earnings(NTD/share),Stock distributed from legal reserve (NTD/share),Stock distributed from capital surplus (NTD/share),Total amount of stock distributed to shareholders
2015,Listed Company,1437,GTM,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/21,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1438,SanDi,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/27,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1439,ASCENT,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/29,0.50000000,0.0,0.0,46000000,0.0,0.0,0.0,0
2015,Listed Company,1440,TAINAN SPINNING,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/15,0.45000000,0.0,0.0,745567135,0.0,0.0,0.0,0
2015,Listed Company,1441,TAH TONG,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/16,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1442,ADVANCETEK,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/15,1.00000000,0.0,0.0,243983878,1.00000000,0.0,0.0,24398387
2015,Listed Company,1443,LILYTEXTILE,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/13,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1444,LEALEA,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/08,0.50000000,0.0,0.0,478651471,0.0,0.0,0.0,0
2015,Listed Company,1445,UNIVERSAL,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/07,0.50000000,0.0,0.0,69333517,0.0,0.0,0.0,0
2015,Listed Company,1446,HONG HO,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/07,0.10000000,0.20000000,0.0,41312854,0.0,0.0,0.0,0
2015,Listed Company,1447,LP,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/08,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1449,CHIA HER,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/28,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2015,Listed Company,1451,NIEN HSING,Ratification by the Shareholders' Meeting,2015,2015/01/01~ 2015/12/31,1,,2016/06/13,1.50000000,0.0,0.0,600000000,0.0,0.0,0.0,0
